ART_TOT;ART_PRM;ART_FOOD_PRM;ART_FOOD;ART_LEADER;ART_FOLLOWER;ART_FLINE;ART_EXLAB;ART_PRIVLAB
298;61;41;181;45;104;14;5;19
277;37;25;158;39;100;7;16;12
365;75;61;267;65;156;11;9;33
234;44;37;176;70;90;3;9;10
261;50;39;180;50;97;13;3;22
277;45;35;192;55;99;17;9;20
261;47;43;176;54;100;8;23;10
358;77;58;242;66;125;21;10;25
313;51;29;188;40;101;18;8;24
270;53;46;204;63;120;11;3;12
313;84;74;214;49;131;12;13;19
283;58;44;215;56;122;16;7;21
264;39;27;170;53;86;10;12;20
259;55;45;222;49;130;10;2;32
256;43;32;197;39;108;11;6;26
296;45;40;226;85;115;12;6;14
380;70;60;288;93;163;8;5;20
377;86;77;281;83;154;20;4;24
273;51;42;219;60;118;17;4;13
326;50;47;256;68;145;13;3;24
357;69;65;271;65;158;13;8;33
314;50;42;239;63;146;5;8;21
118;43;27;67;16;34;9;3;11
143;45;32;96;34;51;2;3;7
27;2;1;15;5;7;1;0;2
255;54;24;110;39;55;5;8;7
54;9;7;45;17;21;1;1;5
246;69;49;163;45;98;4;5;15
259;73;63;193;59;101;3;1;22
112;22;11;33;3;23;1;20;5
241;52;16;142;31;96;2;3;8
129;54;14;34;9;18;1;10;4
395;161;125;255;87;124;2;24;38
376;89;70;263;76;156;14;17;18
124;42;37;101;17;62;3;4;15
12;5;3;7;1;6;0;0;0
73;12;11;63;27;31;1;2;6
113;24;24;106;21;66;6;2;8
46;11;11;41;9;20;3;1;5
63;11;9;48;8;38;0;2;2
15;0;0;10;0;8;0;1;2
353;117;109;281;74;140;30;6;32
1;0;0;0;0;0;0;0;0
19;5;5;17;7;8;1;0;1
3;0;0;1;0;1;0;0;0
1;0;0;0;0;0;0;0;0
16;3;3;16;7;8;1;0;0
275;81;74;236;81;110;12;2;22
115;42;31;71;10;43;3;5;15
12;2;2;12;7;2;1;0;2
594;102;100;569;229;253;16;5;58
13;4;4;12;5;5;0;0;3
18;2;1;7;3;3;1;0;0
67;12;7;35;19;13;0;5;3
265;100;80;178;49;109;7;9;12
38;5;5;38;21;16;1;0;0
696;334;308;637;250;305;9;5;67
804;246;198;467;157;253;10;35;41
149;20;15;96;25;52;4;10;13
215;71;66;176;39;103;7;2;19
348;100;81;261;115;123;3;3;15
263;60;49;208;62;134;3;6;12
269;100;85;180;55;101;4;12;21
63;13;12;53;16;30;2;0;1
80;20;18;66;39;22;5;1;1
69;9;7;44;12;24;5;1;3
40;6;5;24;10;13;1;4;0
526;270;260;477;241;199;6;6;29
376;69;64;336;108;173;20;2;27
243;63;56;199;39;105;14;7;32
56;25;25;56;24;24;4;0;4
494;76;70;453;247;124;30;6;51
38;6;2;21;1;12;1;1;6
358;93;76;306;111;138;20;5;32
120;42;38;108;38;59;5;1;5
10;2;1;6;0;6;0;0;0
34;7;6;28;6;18;1;0;2
397;82;72;319;79;172;9;19;48
4;3;0;0;0;0;0;0;0
103;10;5;84;51;21;5;0;7
79;12;8;60;17;38;2;1;3
148;52;41;119;28;51;8;3;32
91;19;16;85;27;44;4;1;8
34;10;10;30;13;12;2;2;3
12;4;4;8;1;5;1;0;1
462;124;95;361;153;134;26;19;42
19;4;4;16;6;5;2;0;3
1;0;0;0;0;0;0;0;0
203;44;42;166;55;94;8;7;5
59;9;7;49;18;26;2;2;3
41;12;5;32;3;21;5;1;0
21;18;18;21;15;5;0;0;0
66;13;8;43;5;22;6;0;5
75;17;14;52;14;28;2;0;8
211;90;88;187;36;93;13;5;33
18;4;4;14;0;10;2;1;2
242;117;115;227;60;142;7;6;13
42;7;7;37;15;17;1;0;4
2;0;0;2;0;1;0;0;1
21;2;2;13;2;11;0;0;0
73;35;30;50;23;24;2;0;1
246;52;42;200;47;109;5;1;40
62;13;11;57;6;34;0;0;16
213;141;140;207;62;123;11;1;6
194;39;27;161;46;84;6;0;23
280;83;81;263;76;143;9;0;30
5;4;4;5;0;4;1;0;0
38;8;5;31;15;13;1;2;1
62;17;7;42;30;10;1;1;1
10;4;3;7;2;3;1;0;1
188;67;51;124;41;67;5;4;7
16;1;1;14;2;11;1;0;0
52;8;7;39;17;19;2;0;1
9;2;1;5;3;2;0;2;0
35;17;10;26;11;12;0;2;2
84;23;20;69;20;44;0;3;3
43;7;7;34;12;20;2;0;1
65;6;6;56;20;25;4;2;6
341;102;87;299;104;136;23;2;27
217;40;34;180;47;99;11;3;20
165;37;33;130;40;63;9;3;12
232;22;22;220;53;100;14;5;43
51;6;4;40;11;18;2;0;9
279;91;86;236;53;139;8;2;30
194;82;73;168;41;100;8;2;15
210;116;112;194;66;60;13;8;45
2;0;0;0;0;0;0;0;0
228;54;44;181;57;95;3;11;24
220;48;46;179;60;89;11;3;20
32;12;11;25;7;13;0;0;5
32;4;4;21;8;13;0;2;1
55;8;8;49;17;22;5;1;5
76;10;7;44;8;28;0;5;7
87;20;19;73;18;46;1;0;6
526;130;113;403;103;200;30;23;58
57;11;8;47;11;31;1;0;4
180;50;44;145;38;85;8;7;12
4;0;0;0;0;0;0;0;0
12;3;2;9;2;4;0;0;3
137;45;44;131;18;39;31;1;37
197;105;102;186;67;84;13;4;18
22;5;4;18;6;10;1;0;1
8;0;0;0;0;1;0;0;0
84;12;11;58;16;32;1;1;9
304;67;63;280;70;147;11;3;40
63;12;12;63;16;21;11;1;14
121;31;8;33;13;17;2;1;2
1;0;0;1;0;1;0;0;0
641;149;135;571;175;250;34;13;89
85;27;20;67;19;39;3;0;5
1650;449;394;1281;389;628;87;34;154
45;18;1;3;0;1;0;5;2
35;32;32;35;21;14;0;0;0
343;83;72;253;74;150;4;10;26
136;30;29;133;42;58;7;1;18
73;13;7;48;8;27;4;4;7
283;48;44;227;54;130;9;13;26
482;87;81;395;121;196;23;14;58
10;1;1;5;1;3;1;1;0
53;6;5;49;9;28;1;0;11
80;19;18;77;26;36;0;1;13
144;45;44;130;39;68;7;4;10
41;4;3;25;7;11;3;1;4
109;19;13;78;22;39;6;5;10
8;1;1;8;1;2;0;0;5
345;141;137;319;102;135;30;3;45
56;9;9;49;11;31;1;1;5
82;8;8;71;24;29;2;0;15
30;3;1;13;2;9;1;0;1
57;29;26;48;15;27;1;1;2
120;26;22;89;29;49;2;7;3
137;39;35;102;33;41;5;4;15
41;10;9;34;5;22;2;1;4
64;37;37;58;4;52;0;0;2
292;80;74;258;85;150;4;1;17
72;21;17;58;25;28;0;0;5
102;13;10;88;20;29;15;1;24
82;21;16;43;18;22;3;1;1
24;13;13;23;11;8;2;0;2
126;36;29;110;39;47;5;1;17
22;4;4;12;5;6;0;3;1
229;57;55;204;82;105;7;2;9
247;47;43;211;64;91;10;3;42
128;22;21;118;42;67;2;0;5
19;1;1;8;4;4;0;0;0
166;44;34;111;30;70;2;3;7
258;103;101;242;98;111;7;8;19
306;64;60;262;65;161;5;4;27
113;23;12;57;18;30;0;5;7
629;126;112;555;162;287;24;6;73
23;8;5;14;0;13;0;0;1
196;31;28;163;56;87;7;1;15
258;48;47;249;82;130;9;4;25
15;0;0;11;3;8;0;0;0
5;3;3;5;0;5;0;0;0
92;18;15;79;21;44;1;4;10
166;35;27;135;33;75;8;3;20
10;9;8;8;5;3;0;0;0
110;15;13;95;31;57;0;0;5
2;0;0;0;0;0;0;1;0
240;78;56;151;47;84;7;15;12
120;30;27;114;41;50;8;0;14
21;1;0;12;8;2;1;0;1
257;76;72;220;56;112;24;7;22
357;59;58;328;106;139;27;3;49
273;56;41;206;74;105;10;3;11
210;75;72;188;63;75;25;4;21
140;30;28;108;36;65;1;2;5
174;92;75;125;25;69;21;5;9
4;0;0;4;1;1;1;1;0
62;0;0;59;14;23;2;2;15
603;448;442;591;288;257;16;1;26
21;3;2;4;0;3;0;0;1
27;3;3;27;10;14;0;0;3
65;11;8;50;10;14;8;1;15
178;58;48;148;37;50;17;3;36
643;158;141;546;214;252;31;15;40
20;2;0;1;0;1;0;0;0
102;9;9;96;36;40;5;1;12
28;7;7;21;5;14;1;3;1
3;0;0;3;0;0;0;0;3
8;3;0;0;0;0;0;1;0
100;33;31;87;17;41;3;2;23
278;56;51;239;70;134;10;1;23
25;0;0;11;5;5;0;0;1
101;26;25;98;24;48;11;1;14
51;11;8;34;13;18;1;0;3
243;118;110;223;66;119;14;1;25
351;65;63;305;75;144;32;10;45
562;181;144;432;140;189;31;23;56
199;60;51;162;42;88;10;3;18
62;17;10;28;9;13;3;6;3
53;9;5;39;10;14;5;2;9
64;19;15;49;14;29;2;2;4
115;23;23;111;43;47;9;0;12
66;26;25;59;26;25;3;0;5
570;166;130;383;141;227;9;6;6
68;16;10;54;12;22;14;3;4
551;69;57;458;200;175;8;6;64
15;2;2;8;1;1;0;3;6
98;26;23;64;8;49;3;4;3
25;7;4;14;3;9;2;0;0
1;1;0;0;0;0;0;0;0
24;9;3;11;3;6;0;1;2
4;1;0;3;0;1;0;0;0
108;30;29;106;14;52;10;0;24
77;14;13;73;36;31;1;0;3
36;7;3;26;9;13;3;0;1
6;2;1;5;1;3;0;0;1
67;18;18;62;15;31;4;0;12
159;41;39;130;57;48;4;1;19
27;7;6;25;6;10;4;1;3
643;103;86;511;255;167;24;10;62
10;4;4;5;3;1;0;0;1
2;1;0;0;0;0;0;0;0
86;19;17;69;13;29;4;0;22
1;0;0;1;0;1;0;0;0
38;6;6;34;12;18;1;2;3
2;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0
28;3;0;6;0;1;0;3;5
493;193;180;449;51;261;45;10;74
152;45;42;128;29;67;13;6;13
116;44;38;93;27;61;3;3;1
200;101;86;180;45;85;21;2;24
260;165;161;240;129;99;6;3;6
23;3;2;11;4;6;0;5;1
522;181;173;488;180;233;33;4;33
59;8;6;36;10;22;2;3;2
104;16;14;88;34;39;10;6;3
34;4;2;16;1;14;0;1;1
1;0;0;1;0;1;0;0;0
73;17;15;62;30;28;1;0;2
99;22;15;70;23;35;4;0;7
270;55;46;188;40;121;10;3;11
23;11;5;10;3;7;0;1;0
11;1;0;2;1;0;0;2;1
192;56;55;165;52;74;12;4;19
62;8;8;54;17;20;5;0;12
74;13;10;33;6;26;0;10;1
464;113;97;355;120;200;9;7;23
16;6;0;0;0;0;0;1;0
88;11;6;45;8;35;0;0;3
77;9;9;64;23;33;1;0;7
303;71;63;246;64;127;15;15;33
666;147;142;610;220;282;31;14;64
63;4;2;60;9;40;4;1;7
4;2;0;0;0;0;0;0;0
58;15;11;23;6;14;0;6;3
101;21;20;88;12;52;5;3;16
144;18;9;65;14;43;1;9;3
17;0;0;6;2;3;0;0;1
130;36;29;95;36;53;0;2;1
148;23;23;145;38;94;6;1;5
3;1;1;3;1;2;0;0;0
130;29;24;92;23;54;5;3;12
2;2;1;1;0;0;1;0;0
20;4;4;18;6;10;2;0;0
11;1;1;4;1;3;0;0;0
115;37;20;45;5;39;0;5;1
22;5;0;6;2;2;0;0;2
260;43;40;223;61;121;6;4;32
328;117;109;292;76;145;11;8;47
15;1;0;7;3;3;0;0;0
677;279;273;594;236;334;8;8;18
43;4;4;31;10;15;1;2;3
63;5;5;61;26;28;1;1;5
915;183;170;795;221;432;17;15;100
202;32;29;188;84;94;3;1;6
9;0;0;0;0;0;0;6;0
27;4;3;23;12;8;0;0;2
280;50;48;262;74;119;31;3;30
123;26;24;102;39;52;0;3;6
17;3;1;5;1;5;0;0;1
202;19;6;134;38;64;6;7;24
246;56;48;210;60;117;12;6;15
80;12;12;73;25;40;1;0;7
4;0;0;1;0;0;0;2;0
89;21;20;85;31;36;6;0;11
417;67;54;308;96;182;7;15;21
970;162;158;937;427;338;36;11;123
41;6;5;34;12;18;0;2;2
33;6;4;26;6;16;0;0;4
77;20;6;41;16;13;1;5;6
58;10;3;20;7;2;3;4;8
110;24;23;101;29;57;4;1;10
